Omar Al-Ali, 1995-01-07, AKTIV, KONKURRENCESVØMMER, SENIOR
Amalie Jensen, 2002-02-17, AKTIV, MOTIONIST, SENIOR
Daniel Sørensen, 1997-01-01, PASSIV, KONKURRENCESVØMMER, SENIOR
Zuhur Unun, 2002-02-17, AKTIV, MOTIONIST, SENIOR
Marianne Larsen, 2008-04-12, AKTIV, MOTIONIST, JUNIOR
Jan Jørgensen, 1993-03-14, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Jensen, 1996-06-12, AKTIV, KONKURRENCESVØMMER, SENIOR
Søren Hansen, 1976-09-08, PASSIV, KONKURRENCESVØMMER, SENIOR
Anna Sørensen, 1979-12-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Nielsen, 1993-06-30, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Rasmussen, 2003-01-04, AKTIV, MOTIONIST, SENIOR
Anne Larsen, 2004-02-22, AKTIV, MOTIONIST, SENIOR
Jens Andersen, 1988-04-27, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Andersen, 2011-08-01, AKTIV, KONKURRENCESVØMMER, JUNIOR
Anna Andersen, 1996-02-13, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Rasmussen, 1989-04-10, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Hansen, 2007-03-08, AKTIV, KONKURRENCESVØMMER, JUNIOR
Kirsten Nielsen, 2006-05-01, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Jensen, 1973-03-31, AKTIV, MOTIONIST, SENIOR
Thomas Christensen, 1996-11-20, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Christensen, 1996-03-03, PASSIV, MOTIONIST, SENIOR
Hanne Jørgensen, 2003-03-13, PASSIV, MOTIONIST, SENIOR
Thomas Larsen, 1989-08-13, AKTIV, MOTIONIST, SENIOR
Hanne Pedersen, 2004-07-24, PASSIV, MOTIONIST, SENIOR
Mette Jensen, 2003-09-03, AKTIV, MOTIONIST, SENIOR
Niels Hansen, 1980-11-22, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Nielsen, 1994-08-28, AKTIV, MOTIONIST, SENIOR
Helle Sørensen, 2009-02-25, AKTIV, MOTIONIST, JUNIOR
Helle Jørgensen, 1999-05-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Larsen, 1989-04-03, PASSIV, MOTIONIST, SENIOR
Søren Larsen, 2011-11-28, AKTIV, KONKURRENCESVØMMER, JUNIOR
Anne Hansen, 1975-09-20, AKTIV, MOTIONIST, SENIOR
Michael Rasmussen, 2007-08-06, AKTIV, KONKURRENCESVØMMER, JUNIOR
Helle Rasmussen, 1998-06-22, PASSIV, MOTIONIST, SENIOR
Hanne Andersen, 1992-05-26, PASSIV, MOTIONIST, SENIOR
Michael Sørensen, 1988-02-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Maria Andersen, 1970-08-28, AKTIV, MOTIONIST, SENIOR
Jens Rasmussen, 2002-08-26, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Larsen, 2002-01-04, PASSIV, MOTIONIST, SENIOR
Lars Sørensen, 1988-12-28, AKTIV, MOTIONIST, SENIOR
Hanne Pedersen, 2013-03-10, PASSIV, MOTIONIST, JUNIOR
Niels Andersen, 2009-04-21, PASSIV, KONKURRENCESVØMMER, JUNIOR
Kirsten Rasmussen, 1995-06-28, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Hansen, 2007-03-10, AKTIV, MOTIONIST, JUNIOR
Susanne Pedersen, 1982-03-31, AKTIV, MOTIONIST, SENIOR
Lene Hansen, 1984-07-13, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Christensen, 1999-01-13, PASSIV, MOTIONIST, SENIOR
Jens Sørensen, 2008-04-18, PASSIV, KONKURRENCESVØMMER, JUNIOR
Jan Nielsen, 2004-05-12, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Pedersen, 1987-04-25, PASSIV, MOTIONIST, SENIOR
Anne Hansen, 1979-09-06, AKTIV, MOTIONIST, SENIOR
